rank,menu_name,sales,quantity,overall_ratio,category_ratio
1,鶏もものソテー,3600.0,3,0.77,9.7
2,唐揚げ,3900.0,3,0.83,10.51
3,前菜の盛り合わせ,4300.0,3,0.92,11.59
4,フレンチフライ,5000.0,5,1.07,13.48
5,ガーリックシュリンプ,6000.0,5,1.28,16.17
6,カルパッチョ,6800.0,4,1.45,18.33
7,トマトのカプレーゼ,7500.0,6,1.6,20.22
