rank,menu_name,sales,quantity,overall_ratio,category_ratio
1,ジンジャーエール,800.0,1,0.17,10.53
2,ソフトドリンク,800.0,1,0.17,10.53
3,フィーバーツリーソーダ,800.0,1,0.17,10.53
4,コーヒー,1000.0,1,0.21,13.16
5,紅茶,1000.0,1,0.21,13.16
6,ウーロン茶,1600.0,2,0.34,21.05
7,コーラ,1600.0,2,0.34,21.05
