business_hour,account_total,customer_count,account_id,客単価,time_bucket
6,1346940.0,74,147,18201.891891891893,その他
7,231410.0,24,14,9642.083333333334,その他
8,189320.0,8,1,23665.0,その他
18,78600.0,0,2,inf,18-20時
19,414520.0,28,23,14804.285714285714,18-20時
20,13538395.0,3596,1892,3764.848442714127,20-22時
21,13523925.0,5568,3079,2428.8658405172414,20-22時
22,6987350.0,2362,1527,2958.234546994073,22-24時
23,733930.0,79,102,9290.253164556962,22-24時
24,601500.0,41,80,14670.731707317073,24-26時
25,3005980.0,182,161,16516.373626373625,24-26時
26,20401862.0,1892,953,10783.225158562367,その他
27,15620926.0,1454,973,10743.415405777167,その他
28,10350250.0,991,762,10444.248234106963,その他
29,4917666.0,432,472,11383.486111111111,その他
