year_week,category1,subtotal,quantity,構成比
2026-W23,コース&セット,400000.0,28,49.88153136301284
2026-W23,未設定,161000.0,28,20.077316373612668
2026-W23,その他,47500.0,88,5.923431849357776
2026-W23,ジャパニーズカクテル,28800.0,16,3.5914702581369253
2026-W23,NEW CLASSIC COCKTAIL,28700.0,19,3.5789998752961716
2026-W23,JAPANESE COCKTAIL,24700.0,13,3.080184561666043
2026-W23,ウイスキー,22600.0,13,2.8183065220102255
2026-W23,ジャパニーズウイスキー,19100.0,11,2.3818431225838634
2026-W23,FRUITS COCKTAIL,13500.0,9,1.6835016835016834
2026-W23,COLD APPETIZERS,13200.0,11,1.646090534979424
2026-W23,ウイスキー（ハイボール・ボトル・オリジナル）,12000.0,10,1.4964459408903852
2026-W23,DESSERT COCKTAIL,9000.0,6,1.122334455667789
2026-W23,ジン,6000.0,4,0.7482229704451926
2026-W23,ビール,3300.0,3,0.411522633744856
2026-W23,BAR SNACKS ,2800.0,4,0.3491707195410899
2026-W23,HOT APPETIZERS,2700.0,2,0.33670033670033667
2026-W23,ソフトドリンク,2400.0,3,0.29928918817807704
2026-W23,カクテル,1900.0,1,0.23693727397431102
2026-W23,デザート,1500.0,1,0.18705574261129815
2026-W23,DESSERT,1200.0,1,0.14964459408903852
