week,menu_name,subtotal,quantity,構成比
2025-W10,tablecharge,61000.0,122,8.792159123666762
2025-W10,ハウスハイボール,40300.0,31,5.808590371865091
2025-W10,竹鶴,1700.0,1,0.24502738541366387
2025-W11,tablecharge,67500.0,135,7.874015748031496
2025-W11,ハウスハイボール,28000.0,22,3.2662583843686206
2025-W11,竹鶴,3400.0,2,0.39661708953047536
2025-W12,tablecharge,75000.0,150,9.745955428497172
2025-W12,ハウスハイボール,10400.0,8,1.351439152751608
2025-W12,竹鶴,5100.0,3,0.6627249691378078
2025-W13,tablecharge,75000.0,150,8.500510030601836
2025-W13,ハウスハイボール,41600.0,32,4.714949563640485
2025-W13,竹鶴,6800.0,4,0.7707129094412332
2025-W14,tablecharge,73500.0,147,7.791629563668745
2025-W14,ハウスハイボール,22100.0,17,2.342789297375228
2025-W14,白州,5400.0,3,0.5724462536572955
2025-W15,tablecharge,83500.0,171,11.143734151875083
2025-W15,ハウスハイボール,7800.0,6,1.0409715734685707
2025-W16,tablecharge,75500.0,151,9.128279530891065
2025-W16,ハウスハイボール,23400.0,18,2.8291621327529923
2025-W16,竹鶴,10200.0,6,1.2332245194051505
2025-W17,tablecharge,81000.0,162,10.77127659574468
2025-W17,ハウスハイボール,14300.0,11,1.9015957446808511
2025-W17,竹鶴,8500.0,5,1.1303191489361704
2025-W18,tablecharge,63000.0,126,7.593105941906714
2025-W18,ハウスハイボール,34500.0,24,4.158129444377486
2025-W19,ハウスハイボール,114400.0,88,14.822377644123005
2025-W19,tablecharge,45000.0,90,5.830480716656776
2025-W20,tablecharge,67000.0,134,7.626636311895275
2025-W20,ハウスハイボール,10400.0,8,1.1838360842344906
2025-W20,竹鶴,5100.0,3,0.5805350028457599
2025-W21,tablecharge,53000.0,106,9.14423740510697
2025-W21,ハウスハイボール,11700.0,9,2.018633540372671
2025-W21,白州,5400.0,3,0.9316770186335404
2025-W22,tablecharge,45500.0,91,9.316134316134315
2025-W22,ハウスハイボール,9100.0,7,1.8632268632268634
2025-W22,白州,3600.0,2,0.7371007371007371
2025-W23,tablecharge,48500.0,103,10.872001793319884
2025-W23,白州,16200.0,9,3.63147276395427
2025-W24,ハウスハイボール,52000.0,40,10.885492987230478
2025-W24,tablecharge,37000.0,74,7.745446933221688
2025-W24,竹鶴,3400.0,2,0.7117437722419928
2025-W25,tablecharge,48000.0,96,6.613392119041059
2025-W25,ハウスハイボール,14300.0,11,1.970239735464315
2025-W25,竹鶴,3400.0,2,0.468448608432075
2025-W26,tablecharge,54000.0,108,8.442776735459661
2025-W26,ハウスハイボール,10400.0,8,1.6260162601626018
2025-W26,竹鶴,1700.0,1,0.26579111944965605
2025-W27,tablecharge,52500.0,105,7.420494699646643
2025-W27,ハウスハイボール,31200.0,30,4.409893992932862
2025-W27,竹鶴,3400.0,2,0.48056537102473496
2025-W28,tablecharge,58500.0,123,8.464766314570973
2025-W28,ハウスハイボール,26000.0,20,3.762118362031544
2025-W28,竹鶴,6800.0,4,0.983938648531327
2025-W29,tablecharge,62500.0,129,9.061910975786574
2025-W29,ハウスハイボール,31200.0,24,4.523705959112657
2025-W29,白州,1800.0,1,0.26098303610265333
2025-W29,竹鶴,1700.0,1,0.2464839785413948
2025-W30,tablecharge,44000.0,88,8.71114630766185
2025-W30,ハウスハイボール,22100.0,25,4.375371213621065
2025-W31,tablecharge,37500.0,81,7.3414252153484725
2025-W31,竹鶴,5100.0,3,0.9984338292873923
2025-W31,ハウスハイボール,3900.0,3,0.7635082223962412
2025-W32,tablecharge,37000.0,74,3.6236248588500186
2025-W32,ハウスハイボール,27300.0,21,2.6736475309893377
2025-W33,tablecharge,36500.0,73,5.748936840447315
2025-W33,ハウスハイボール,14300.0,11,2.252323200504016
2025-W33,竹鶴,1700.0,1,0.26775870215782016
2025-W34,tablecharge,43500.0,87,5.537873965626989
2025-W34,竹鶴,23800.0,14,3.0299172501591345
2025-W34,ハウスハイボール,10400.0,8,1.3239974538510504
2025-W34,白州,3600.0,2,0.4583068109484405
2025-W35,tablecharge,39000.0,78,8.51900393184797
2025-W35,ハウスハイボール,23400.0,18,5.111402359108781
2025-W36,tablecharge,25000.0,54,6.05766900896535
2025-W36,ハウスハイボール,18200.0,14,4.409983038526775
2025-W36,竹鶴,1700.0,1,0.4119214926096438
2025-W37,tablecharge,39500.0,79,6.038278097101626
2025-W37,ハウスハイボール,22100.0,17,3.3783783783783785
2025-W37,竹鶴,1700.0,1,0.2598752598752599
2025-W38,ハウスハイボール,57200.0,44,7.435717442737176
2025-W38,tablecharge,48000.0,96,6.239762889010217
2025-W38,竹鶴,5100.0,3,0.6629748069573356
2025-W39,tablecharge,29000.0,58,8.936825885978427
2025-W39,ハウスハイボール,1300.0,1,0.40061633281972264
2025-W40,tablecharge,39000.0,78,7.3659955426283386
2025-W40,ハウスハイボール,9100.0,7,1.7187322932799458
2025-W40,本わさびジンソニック,7200.0,4,1.3598761001775392
2025-W40,白州,3600.0,2,0.6799380500887696
2025-W41,tablecharge,49500.0,101,9.298306581134769
2025-W41,白州,10800.0,6,2.02872143588395
2025-W41,ハウスハイボール,10400.0,8,1.9535836049252848
2025-W41,竹鶴,3400.0,2,0.6386715631486508
2025-W41,本わさびジンソニック,1800.0,1,0.3381202393139916
2025-W42,tablecharge,44000.0,88,5.780346820809249
2025-W42,ハウスハイボール,19500.0,15,2.561744613767735
2025-W42,本わさびジンソニック,18000.0,10,2.364687335785602
2025-W43,tablecharge,40000.0,80,5.517241379310345
2025-W43,ハウスハイボール,35100.0,27,4.841379310344827
2025-W43,本わさびジンソニック,9000.0,5,1.2413793103448276
2025-W43,竹鶴,1700.0,1,0.23448275862068968
2025-W43,アードベック 10年,1600.0,1,0.2206896551724138
2025-W44,tablecharge,48000.0,96,9.874511417403827
2025-W44,ハウスハイボール,26000.0,20,5.348693684427073
2025-W44,本わさびジンソニック,21600.0,12,4.443530137831722
2025-W45,tablecharge,58000.0,116,7.568244689180021
2025-W45,ハウスハイボール,24700.0,19,3.223028341771491
2025-W45,本わさびジンソニック,23400.0,13,3.053395271151939
2025-W45,白州,3600.0,2,0.46975311863875985
2025-W46,tablecharge,62000.0,124,7.095607590011216
2025-W46,ハウスハイボール,45500.0,35,5.207260408798554
2025-W46,白州,25200.0,14,2.8840211494884294
2025-W46,本わさびジンソニック,9000.0,5,1.030007553388725
2025-W46,アードベック 10年,4800.0,3,0.54933736180732
2025-W46,竹鶴,3400.0,2,0.38911396461351827
2025-W47,tablecharge,60000.0,120,8.059100067159166
2025-W47,ハウスハイボール,27300.0,21,3.6668905305574215
2025-W47,本わさびジンソニック,12600.0,7,1.6924110141034252
2025-W47,竹鶴,1700.0,1,0.22834116856950976
2025-W48,tablecharge,54000.0,112,8.17810086324398
2025-W48,本わさびジンソニック,16200.0,9,2.453430258973194
2025-W48,白州,3600.0,2,0.5452067242162654
2025-W48,ハウスハイボール,1300.0,3,0.19688020596698472
2025-W49,ハウスハイボール,48100.0,37,7.160934941193986
2025-W49,tablecharge,33500.0,67,4.98734554116421
2025-W49,白州,10800.0,6,1.6078606520768202
2025-W49,本わさびジンソニック,3600.0,2,0.5359535506922734
2025-W50,tablecharge,52500.0,105,5.602390353217372
2025-W50,ハウスハイボール,9100.0,7,0.9710809945576779
2025-W50,本わさびジンソニック,7200.0,4,0.7683278198698111
2025-W50,アードベック 10年,1600.0,1,0.1707395155266247
2025-W51,tablecharge,50500.0,101,4.162716894036187
