business_hour,account_total,customer_count,account_id,客単価,time_bucket
6,1763544.0,27,160,65316.444444444445,その他
7,98990.0,2,6,49495.0,その他
11,98220.0,9,7,10913.333333333334,その他
12,147900.0,21,13,7042.857142857143,その他
13,15760.0,0,2,inf,その他
14,14060.0,0,1,inf,その他
15,50200.0,0,2,inf,その他
16,110055.0,2,10,55027.5,その他
17,360550.0,21,11,17169.04761904762,その他
18,363400.0,12,20,30283.333333333332,18-20時
19,339580.0,29,24,11709.655172413793,18-20時
20,8714890.0,1105,631,7886.778280542986,20-22時
21,8165505.0,1030,721,7927.674757281553,20-22時
22,3709240.0,272,370,13636.911764705883,22-24時
23,1627278.0,3,149,542426.0,22-24時
24,1927555.0,1,165,1927555.0,24-26時
25,5025355.0,109,354,46104.1743119266,24-26時
26,19541691.0,917,944,21310.459105779715,その他
27,20721902.0,1049,1013,19753.958055290754,その他
28,13610502.0,667,835,20405.550224887556,その他
29,6498440.0,196,463,33155.30612244898,その他
